episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
368,63.072000,-16.000000,64.072000,0.477716,177.268973,2578,878,7749
369,25.320250,-19.000000,38.320250,0.476761,107.390582,1557,880,7770
370,57.925500,-17.000000,62.925500,0.475807,176.153206,2540,884,7791
371,59.551750,-13.000000,48.551750,0.474855,134.643349,1952,892,7812
372,42.951250,-17.000000,47.951250,0.473906,132.693020,1927,896,7833
373,54.991750,-17.000000,59.991750,0.472958,167.244503,2413,900,7854
374,118.604250,-7.000000,83.604250,0.472012,232.766051,3372,914,7875
375,72.465750,-14.000000,65.465750,0.471068,183.451644,2640,921,7896
376,46.673750,-15.000000,43.673750,0.470126,120.904098,1756,927,7917
377,77.260750,-13.000000,66.260750,0.469186,186.197736,2677,935,7938
378,69.279500,-14.000000,62.279500,0.468247,174.388776,2514,942,7959
379,62.328250,-17.000000,67.328250,0.467311,190.724869,2717,946,7980
380,56.602000,-16.000000,57.602000,0.466376,162.568336,2329,951,8001
381,89.660000,-9.000000,62.660000,0.465443,177.342055,2521,963,8022
382,33.458750,-19.000000,46.458750,0.464512,132.137629,1865,965,8043
